"Description_1";"Description_2";"id"
"Absinthe Cocktail";" pastis, water, anisette, orange bitters";1.0
"Absinthe Cocktail Variation";" pastis, Angostura bitters, anisette, orgeat";2.0
"Absinthe American";" water, pastis";3.0
"Absinthe And Egg";" pastis, egg white, gin";4.0
"Absinthe French";" pastis, sugar";5.0
"Absinthe Italiano";" pastis, anisette, water, maraschino liqueur";6.0
"Absinthe Special Cocktail";" pastis, water, sugar, orange bitters";7.0
"Absinthe Special";" pastis, gin, anisette, orange bitters";8.0
"Acacia Cocktail";" gin, Benedictine, kirsch";9.0
"Ace Cocktail";" egg white, gin, cream, grenadine";10.0
"Adam & Eve Cocktail";" Cognac, gin, Forbidden Fruit, lemon juice";11.0
"Addison Cocktail";" sweet vermouth, gin";12.0
"Adelle Special";" blended Scotch, Curaçao";13.0
"Adios Amigos Cocktail";" Bacardi white rum, lime juice, gin, brandy, dry vermouth";14.0
"Admiral Hiball";" Tokay wine, Bourbon, ice, lemon juice, pineapple juice";15.0
"Agonie Cocktail";" gin, lemon juice, white rum, sugar";16.0
"Ainsworth Cocktail";" gin, dry vermouth";17.0
"Air Mail";" gold rum, lime juice, honey";18.0
"A. J. Cocktail";" applejack, grapefruit juice, grenadine";19.0
"A La Donna";" grapefruit juice, orange juice, white rum";20.0
"Albertine Cocktail";" kirsch, Yellow Chartreuse, Cointreau, maraschino liqueur";21.0
"Alberti's Night Cocktail";" Bourbon or rye whiskey, Strega, orange bitters";22.0
"Alejandra";" cream, brandy, Kahlua";23.0
"Ale Sangaree";" water or sugar";24.0
"Alexandra Cocktail";" crème de cacao, gin, cream";25.0
"Alfonso Cocktail";" Dubonnet, sugar, ice, aromatic bitters";26.0
"Alfonso Special";" dry vermouth, gin, Grand Marnier, sweet vermouth, aromatic bitters";27.0
"Alice Mine Cocktail";" Grand Marnier, gin, dry vermouth, sweet vermouth, Angostura bitters";28.0
"Alice Mine Cocktail #2";" sweet vermouth, kummel, Bourbon";29.0
"Algonquin Bar Punch";" sloe gin, lemon juice, Jamaican rum, sugar";30.0
"Alligator Cocktail";" gin, orgeat, eau de melisse";31.0
"All White Frappe";" crème de cacao, anisette, crème de menthe, lemon juice";32.0
"Alsace Lorraine";" anisette, kirsch";33.0
"A Lulu";" orange juice, Puerto Rican rum, Galliano, slice of  passion fruit, crème de noyeau";34.0
"Amabile Beone";" crème de menthe, Drambuie";35.0
"Amaranth";" rye whiskey, sugar, aromatic bitters";36.0
"Amber Dream Cocktail";" gin, sweet vermouth, Yellow Chartreuse, aromatic bitters";37.0
"American Fizz";" lemon juice, brandy, gin, grenadine";38.0
"American Glory Hiball";" Champagne, orange juice";39.0
"American Grogg";" white rum, lemon juice, sugar";40.0
"American Grogg Variation";" Bourbon or rye whiskey, lemon juice, sugar";41.0
"American Punch";" orange juice, dry vermouth, brandy, crème de menthe, sugar";42.0
"American Punch Variation";" lemon juice, crème de menthe or Crème Yvette, grenadine, soda, sugar";43.0
"American Rose";" brandy, Peach slice, grenadine, pastis";44.0
"Amer Picon Cocktail";" Amer Picon, lime juice, grenadine";45.0
"Amer Picon Cooler";" Amer Picon, gin, lemon juice, sugar";46.0
"Amer Picon Fizz";" Amer Picon, grenadine, egg white";47.0
"Amer Picon Hiball";" Amer Picon, grenadine";48.0
"Amour Cocktail";" dry vermouth, cocktail Sherry, Angostura bitters";49.0
"Amsterdam Cocktail";" genever gin, orange juice, Cointreau, orange bitters";50.0
"Angelic Cocktail";" Bourbon, cream, crème de cacao, grenadine";51.0
"Angelino Cocktail";" pisco, blended Scotch, Galliano";52.0
"Angel's Blush";" cream, Benedictine, Crème Yvette, maraschino liqueur";53.0
"Angel";" crème de violette, maraschino liqueur, raspberry syrup or grenadine";54.0
"Angostura Fizz";" lime juice, Angostura bitters, cream, egg white, grenadine";55.0
"Angostura Hiball";" Angostura bitters";56.0
"Anis Del Oso";" grenadine, Anis del Mono";57.0
"Anisette Man";" sweet vermouth, Bourbon, anisette";58.0
"Anisette Cocktail";" egg white, gin, cream, anisette";59.0
"Anisette Cocktail #2";" anisette, Benedictine, Angostura bitters";60.0
"Announcer Cocktail";" brandy, gin, lemon juice, Cointreau";61.0
"Ann Sheridan Cocktail";" Bacardi white rum, lime juice, Curaçao";62.0
"Apollo 8";" Galliano, Tequila, Curaçao";63.0
"Apollo Moon Maiden";" cream, brandy, Galliano, vanilla extract";64.0
"Apparent Cocktail";" Dubonnet, gin, pastis";65.0
"Appendectomy Cocktail";" egg white, gin, lime juice, Grand Marnier";66.0
"Appendicitis Cocktail";" egg white, gin, lime juice, Curaçao";67.0
"Appetizer Cocktail";" orange juice, Dubonnet";68.0
"Appetizer Cocktail Variation";" Dubonnet, gin, orange juice, Angostura bitters";69.0
"Appetizer Cocktail #2";" rye whiskey, Curaçao, Peychaud bitters";70.0
"Apple Cocktail";" apple cider, apple brandy or Calvados, gin, brandy";71.0
"Apple & Ginger Cocktail";" applejack, ginger-flavored brandy liqueur, lime juice, sugar";72.0
"Apple Buck";" applejack, lemon juice";73.0
"Apple Byrrh Cocktail";" apple brandy or Calvados, Byrrh, dry vermouth, lemon juice";74.0
"Apple Dandy";" vodka";75.0
"Apple Ginger Fix";" ginger-flavored brandy liqueur, applejack, lemon juice, water or sugar";76.0
"Apple Ginger Sangaree";" ginger wine, apple brandy, sugar";77.0
"Applehawk Cocktail";" grapefruit juice, applejack, sugar";78.0
"Applejack Algonquin";" applejack, apple slice, sugar";79.0
"Applejack Collins";" applejack, lemon juice, sugar, orange bitters";80.0
"Applejack Cooler";" applejack, lemon juice, grenadine, brandy, sugar";81.0
"Applejack Daisy";" lemon juice, applejack, brandy, grenadine, sugar";82.0
"Applejack Daisy Variation";" gin, applejack, lemon juice, grenadine";83.0
"Applejack Flip";" applejack, egg, sugar";84.0
"Applejack Hiball";" applejack";85.0
"Applejack Punch";" applejack, orange juice, grenadine";86.0
"Applejack Rabbit";" applejack, maple syrup, orange juice, lemon juice";87.0
"Applejack Rickey";" applejack, lime juice, grenadine, brandy";88.0
"Applejack Sling";" applejack, lemon juice, sugar, Angostura bitters";89.0
"Applejack Sour";" applejack, lemon juice, sugar";90.0
"Applejack Man";" applejack, sweet vermouth, orange bitters";91.0
"Apple Swizzle";" apple brandy, lime juice, white rum, Angostura bitters, sugar";92.0
"Apple Toddy";" applejack, water or sugar";93.0
"Apple Toddy (hot)";" applejack, sugar";94.0
"Apple Toddy (hot) Variation";" applejack, apple slice, sugar";95.0
"Appletree";" apple cider or apple juice, applejack, dry vermouth";96.0
"Approve Cocktail";" rye whiskey, Curaçao, Angostura bitters";97.0
"Apricot Anis Fizz";" gin, lemon juice, apricot flavored brandy, anisette";98.0
"Apricot Brandy Cooler";" apricot flavored brandy, lemon juice, grenadine, Angostura bitters";99.0
"Apricot Cooler";" apricot flavored brandy, water or sugar or soda";100.0
"Apricot Pie Cocktail";" sweet vermouth, white rum, grenadine, apricot flavored brandy, lemon juice";101.0
"Aquavit Fizz";" aquavit, egg white, lemon juice, Cherry Heering, sugar";102.0
"Aquavit Hiball";" aquavit";103.0
"Aquavit Rickey";" aquavit, lime juice, kummel";104.0
"Arawak Cocktail";" cocktail Sherry or cream, Jamaican rum, Angostura bitters";105.0
"Archbishop Punch";" water, Port, lime juice, Jamaican rum, sugar";106.0
"Argentina Cocktail";" dry vermouth, gin, Benedictine, Cointreau, Angostura bitters, orange bitters";107.0
"Argentine Julep";" claret, Spanish brandy, pineapple juice, orange juice, Cointreau";108.0
"Armour Cocktail";" dry vermouth, cocktail Sherry, orange bitters";109.0
"Army Cocktail";" gin, sweet vermouth";110.0
"Arrack Cooler";" Batavia Arak, Puerto Rican rum, lemon juice, sugar";111.0
"Arrack Punch";" Batavia Arak, lemon juice, orange juice, sugar";112.0
"Arrowhead Cocktail";" blended whiskey, lemon juice, egg white, dry vermouth, sweet vermouth";113.0
"Arsenic & Old Lace";" gin, crème de violette, pastis, dry vermouth";114.0
"Artist's Special Cocktail";" cocktail Sherry, blended whiskey or Bourbon, lemon juice, grenadine";115.0
"Aruba Trade Wind";" Galliano, cream, Grand Marnier, apricot flavored brandy";116.0
"Astor Cocktail";" gin, orange juice, lemon juice";117.0
"Asylum Cocktail";" pastis, gin";118.0
"Atlanta Belle";" cream, Bourbon, crème de cacao, crème de menthe";119.0
"Atlas Cocktail";" Demerara rum, apple brandy or Calvados, Cointreau, Angostura bitters";120.0
"Atta Boy Cocktail";" gin, dry vermouth, grenadine";121.0
"Attention Cocktail";" gin, crème de violette, dry vermouth, pastis, orange bitters";122.0
"Atty Cocktail";" gin, dry vermouth, crème de violette";123.0
"Auburn";" vodka, orange juice, Galliano, crème de cassis";124.0
"Auld Man's Milk";" blended Scotch, egg, sugar";125.0
"Automobile Cocktail";" blended Scotch, gin, sweet vermouth, orange bitters";126.0
"Aziz Fizz";" gin, lemon juice, egg white, sugar, orange flower water";127.0
"B & B Collins";" Cognac, lemon juice, sugar";128.0
"Baby Fingers Cocktail";" sloe gin, gin, Angostura bitters";129.0
"Baby Kitty";" cream, crème de violette, anisette";130.0
"Baby's Own Cocktail";" triple sec, cream, Angostura bitters";131.0
"Bacardi-absinthe";" Bacardi white rum, maraschino liqueur, pastis";132.0
"Bacardi Buck";" Bacardi white rum, Cointreau";133.0
"Bacardi Blossom";" Bacardi white rum, orange juice, sugar, lemon juice";134.0
"Bacardi Collins";" Bacardi white rum, lime juice, sugar";135.0
"Bacardi Dry";" Bacardi white rum, dry vermouth";136.0
"Bacardidub Cocktail";" Bacardi white rum, Dubonnet, grenadine";137.0
"Bacardi Fizz";" Bacardi white rum, lemon juice, sugar";138.0
"Bacardi Hiball";" Bacardi white rum";139.0
"Bacardi Peach Cocktail";" Bacardi white rum, peach-flavored brandy liqueur, lemon juice, sugar";140.0
"Bacardi Punch";" pineapple juice, Bacardi white rum, lemon juice, grenadine, Curaçao";141.0
"Bacardi Punch Variation";" Bacardi white rum, grenadine";142.0
"Bacardi Punch Variation";" Bacardi white rum, lemon juice, Cointreau";143.0
"Bacardi Silver Cocktail";" egg white, Bacardi white rum, gin, pineapple juice, lemon juice";144.0
"Bacardi Special Cocktail";" Bacardi white rum, lime juice, grenadine, gin";145.0
"Bacardi Sweet Cocktail";" Bacardi white rum, sweet vermouth";146.0
"Bahia Cocktail";" cocktail Sherry, dry vermouth, pastis, Angostura bitters";147.0
"Balalaika";" lemon juice, vodka, Cointreau";148.0
"Bald Head Cocktail";" gin, sweet vermouth, dry vermouth, pastis";149.0
"Bali Hai";" lime juice, ice, lemon wheel, Okolehao, white rum";150.0
"Bali Punch";" white rum, lime juice, slice of  passion fruit, sugar";151.0
"Ballantine's Cocktail";" gin, dry vermouth, pastis, orange bitters";152.0
"Balm Cocktail";" cocktail Sherry, pimento dram, Cointreau, orange juice, orange bitters";153.0
"Baltimore Bang";" Bourbon, lemon juice, apricot flavored brandy, sugar";154.0
"Baltimore Eggnog";" milk, Madeira, Jamaican rum, brandy, egg, sugar";155.0
"Baltimore Eggnog Variation";" milk, Madeira, Bourbon, sugar";156.0
"Banana Italiano";" Galliano, cream, crème de banane";157.0
"Banman Cocktail";" liqueur or mango slice, white rum, lime juice, banana cordial";158.0
"Banset";" anisette, crème de banane";159.0
"Barbados Red Rum Swizzle";" Barbados rum, lime juice, sugar, Angostura bitters";160.0
"Barbara";" cream, vodka, crème de cacao";161.0
"Barbara East Cocktail";" Bourbon, grapefruit juice, apricot flavored brandy, sugar";162.0
"Barbara West Cocktail";" cocktail Sherry, gin, lemon juice, Angostura bitters";163.0
"Barbaresque Cocktail";" white rum, lemon juice, Cointreau";164.0
"Barbary Coast Hiball";" Bourbon, cream, gin, crème de cacao";165.0
"Barbotage Of Champagne";" ice, sugar, lemon juice, Angostura bitters";166.0
"Barcelona Fizz";" gin, cocktail Sherry, lime juice, sugar";167.0
"Barking Dog Cocktail";" gin, sweet vermouth, dry vermouth, Calisay liqueur";168.0
"Barnacle Bill Cocktail";" pastis, parfait amour, Yellow Chartreuse";169.0
"Barney Barnato Cocktail";" Dubonnet, brandy, Curaçao, Angostura bitters";170.0
"Barney French";" Bourbon, orange wheel or lemon wheel, Peychaud bitters";171.0
"Barney French Variation";" lemon wheel or orange wheel, Bourbon, pastis";172.0
"Baronet";" Chivas Regal, Lochan Ora";173.0
"Barracuda";" gold rum, pineapple juice, Galliano, lime juice, sugar";174.0
"Barry Cocktail";" gin, sweet vermouth, Angostura bitters";175.0
"Bath Cure";" brandy, Jamaican rum, 151 proof rum, vodka, white rum, pineapple juice, lemon juice, grenadine";176.0
"Batido De Pina";" white rum";177.0
"Batiste";" white rum, Grand Marnier";178.0
"Battery Charger";" pastis, grenadine";179.0
"Bayard Fizz";" gin, lemon juice, raspberry syrup, maraschino liqueur";180.0
"Bayou Cocktail";" brandy, mango nectar, lime juice, peach-flavored brandy liqueur";181.0
"Beachcomber's Gold";" white rum, sweet vermouth, dry vermouth";182.0
"Beadletown Special";" blended Scotch, Benedictine, Dry Sack or cocktail Sherry";183.0
"Beano";" Cognac, Tia Maria, Galliano";184.0
"Beau Brummel Cocktail";" orange juice, Bourbon, crème de prunelle, sugar";185.0
"Beau Arts Cocktail";" gin, dry vermouth, sweet vermouth, orange juice, pineapple juice, anisette";186.0
"Bebbo Cocktail";" gin, lemon juice, honey, orange juice";187.0
"Beck Cocktail";" gin, sweet vermouth, dry vermouth, anisette";188.0
"Bee Bee";" Bourbon, honey";189.0
"Bee Bee Hot";" Bourbon, honey";190.0
"Beehive Cocktail";" grapefruit juice, Bourbon, honey";191.0
"Beer Buster";" vodka, Tabasco sauce";192.0
"Bee's Kiss Cocktail";" white rum, cream, honey";193.0
"Bel-aire Cocktail";" gin, sweet vermouth, Curaçao";194.0
"Bell Of Camille Cocktail";" Bourbon, Campari";195.0
"Belote Cocktail";" apple brandy or Calvados, orange juice, grenadine, anisette";196.0
"Benedict";" blended Scotch, Benedictine";197.0
"Benedict Arnold";" blended Scotch, Benedictine";198.0
"Benedictine Cocktail";" Benedictine, Angostura bitters";199.0
"Benedictine Cocktail Variation";" brandy, Benedictine, lemon juice";200.0
"Ben Hurtz Cocktail";" white rum, Strega";201.0
"Bentote Cocktail";" Cognac, orange juice, Curaçao";202.0
"Berliner Cocktail";" gin, dry vermouth, lemon juice, kummel";203.0
"Bermuda Cocktail";" gin, orange juice, peach-flavored brandy liqueur, grenadine";204.0
"Bermuda Bouquet Cocktail";" gin, lemon juice, apricot flavored brandy, orange juice, Curaçao, grenadine, sugar";205.0
"Berry Cocktail";" gin, Mandarette, sweet vermouth, dry vermouth";206.0
"Berry Cocktail #2";" white rum, pineapple juice, orange juice, grenadine";207.0
"Berryade";" Port, sugar";208.0
"Berry Wall Cocktail";" gin, sweet vermouth, Curaçao";209.0
"Betty Cocktail";" Bacardi white rum, gin, Cointreau";210.0
"Betty James Cocktail";" gin, lemon juice, maraschino liqueur, aromatic bitters";211.0
"Bianco Cocktail";" Bourbon, dry vermouth, Angostura bitters";212.0
"Biarrity Cocktail";" yellow Izarra, white rum, applejack or Calvados";213.0
"Bich's (special) Cocktail";" gin, Lillet Blanc, Angostura bitters";214.0
"Bidou Cocktail";" gin, peach-flavored brandy liqueur, dry vermouth";215.0
"Big Bad Wolf";" brandy, egg yolk, orange juice, grenadine";216.0
"Big Boy Cocktail";" brandy, sirop de citron, Cointreau";217.0
"Bill Lyken's Delight";" gin, dry vermouth, sweet vermouth";218.0
"Bill Orr Cocktail";" blended Scotch, orange juice, orange bitters";219.0
"Biltong Cocktail";" Dubonnet, gin, Caperitif, orange bitters";220.0
"Bimini Cocktail";" cream, gin, crème de cacao";221.0
"Bimini Cooler";" cream, gin, crème de cacao";222.0
"Bird Cocktail";" Cognac, triple sec";223.0
"Birdie";" white rum, grenadine, orange juice, pineapple juice, Curaçao";224.0
"Biscayne";" gin, lime juice, Forbidden Fruit, white rum";225.0
"Bishop (cooler)";" orange juice, lemon juice, sugar";226.0
"Bishop (cooler) Variation";" orange juice, dark rum, lemon juice, sugar, Angostura bitters";227.0
"Bismarck Fizz";" sloe gin, lemon juice";228.0
"Biter Cocktail";" gin, lemon juice, pastis, Yellow Chartreuse";229.0
"Bitter Cocktail";" gin, lemon juice, green Chartreuse, sugar, pastis";230.0
"Bitter Apple";" applejack, Angostura bitters";231.0
"Bitter Banana Cooler";" white rum, pineapple juice, slice of banana, lemon juice, Peychaud bitters";232.0
"Bitter Bourbon Lemonade";" Bourbon, lemon juice, lime juice, grenadine, sugar";233.0
"Bitter Bransher";" cocktail Sherry or cream, brandy, Cherry Heering, lemon juice";234.0
"Bitter Hiball";" aromatic bitters";235.0
"Bitter Lemon Cooler";" dry vermouth, gin, lemon juice, grenadine";236.0
"Bitter Orange Cooler";" orange juice, sweet vermouth, Cherry Heering, lemon juice";237.0
"Bizzy Izzy Hiball";" cocktail Sherry, Bourbon, lemon juice";238.0
"Black And Tan";" ale, stout";239.0
"Black And Tan (non Alcoholic)";" Cola, milk or ice";240.0
"Blackberry Cooler";" blackberry flavored brandy, lemon juice";241.0
"Blackberry Demi Tasse";" blackberry liqueur, water, Cognac, blackberry jelly, lemon juice";242.0
"Blackberry Flip";" blackberry flavored brandy, egg, sugar";243.0
